school,major,risk_level,source_present,official_source_type,required_recommended_mixed,numeric_score_suspect,gpa_suspect,credit_suspect,same_requirements_as_other_majors,needs_official_check,notes
Columbia University,Civil Engineering & Engineering Mechanics,verified,true,official_site,false,false,false,false,false,false,None
Columbia University,Earth & Environmental Engineering,verified,true,official_site,false,false,false,false,false,false,None
Columbia University,Engineering (Undecided / General),verified,true,official_site,false,false,false,false,false,false,None
Columbia University,Industrial Engineering & Operations Research,verified,true,official_site,false,false,false,false,false,false,None
Columbia University,Materials Science & Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Computer Science,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Data Science,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Information Technology,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Biomedical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Industrial Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Aerospace Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Business Administration,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Finance,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Accounting,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Marketing,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Management,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Economics,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Psychology,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Political Science,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Sociology,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,History,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,English,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Communications,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Biology,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Chemistry,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Physics,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Mathematics,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Statistics,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Public Health,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Nursing,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,International Relations,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Philosophy,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Computer Science & Engineering (Eng.),verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Computer & Information Science (A&S),verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Electrical & Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Environmental Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,"Food, Ag & Biological Engineering",verified,true,official_site,false,false,false,false,false,false,None
